"",DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL
BSENTEE BALLOT (FPCA),332,89,1,4,2,111,1,540
Y MAIL,1137,343,12,6,0,440,18,"1,956"
ESIGNATED STATE AGENCIES,263,76,0,0,0,188,13,540
LDERLY / DISABLED / SOC SEC,1477,313,22,13,6,611,20,"2,462"
RIC REPORT,786,325,1,9,2,428,29,"1,580"
ROM ANOTHER BOARD,0,0,0,0,0,0,0,0
ROVISIONAL BALLOT,2,0,0,0,0,0,0,2
N PERSON,188,104,3,0,0,83,9,387
OTOR VEHICLE ADMINISTRATION,8971,3278,325,152,4,5868,197,"18,795"
VRA BY MAIL,89,44,0,0,0,49,0,182
NLINE REGISTRATION,5009,2152,155,54,30,2844,88,"10,332"
THER MEANS,247,57,10,0,0,140,5,459
ECRUITING,0,0,0,0,0,0,0,0
AME DAY REGISTRATION,0,0,0,0,0,0,0,0
OCIAL SERVICES,0,0,0,0,0,0,0,0
OLUNTEER,576,196,23,13,2,213,7,"1,030"
